,names,lr
0,drsdelliscc,Right
1,rechievaldez,Right
2,reneliberal,Right
3,drbrendanhanley,Right
4,Shelby_Kramp,Right
5,IqwinderSGaheer,Right
6,Joanne_NL,Right
7,LenaMetlegeDiab,Right
8,Tony_Baldinelli,Right
9,GeraldSorokaMP,Right
10,MarcusPowlowski,Right
11,kyleseeback,Right
12,mikekelloway,Right
13,KodyBloisNS,Right
14,AnnieKoutrakis,Right
15,JaimeBattiste,Right
16,PatrickBWeiler,Right
17,SameerZuberi,Right
18,Leah_Taylor_Roy,Right
19,MSidhuLiberal,Right
20,TurnbullWhitby,Right
21,MHGaudreauBQ,Right
22,JeremyPatzerMP,Right
23,AlexRuff17,Right
24,ScotDavidsonMP,Right
25,GregMcLeanYYC,Right
26,LisaMarieBarron,Left
27,ChrisLewisEssex,Right
28,DaveEppCKL,Right
29,PLawrenceMP,Right
30,BradRedekopp,Right
31,richardmartelpc,Right
32,ChahalGeorge,Right
33,DougShipleyBSOM,Right
34,RobertsAnna281,Right
35,Lianne_Rood,Right
36,PatriciaLattan3,Right
37,DesjarlaisBlake,Left
38,MarilynGladuSL,Right
39,BobBenzen,Right
40,GlenMotz,Right
41,Joelgodinpjc,Right
42,rosemarie_falk,Right
43,ziad_aboultaif,Right
44,PeterFonsecaMP,Right
45,RachaelThomasMP,Right
46,TerryDowdall,Right
47,sergecormierlib,Right
48,ArnoldViersen,Right
49,TerrySheehanMP,Right
50,KevinWaugh_CPC,Right
51,F_ElKhoury,Right
52,KellyMcCauleyMP,Right
53,McDonald4Avalon,Right
54,MMcLeodNWT,Right
55,SoniaLiberal,Right
56,stephanelauzon5,Right
57,GenereuxBernard,Right
58,MartinBowRiver,Right
59,RaquelDancho,Right
60,ToddDohertyMP,Right
61,JenOConnell_,Right
62,ShannonStubbsMP,Right
63,YRobillardPLC,Right
64,Shaun_Chen,Right
65,adhillonDLL,Right
66,MorrisseyEgmont,Right
67,darrellsamson,Right
68,TracyGrayKLC,Right
69,BardishKW,Right
70,TimLouisKitCon,Right
71,Daniel_Blaikie,Left
72,PatKelly_MP,Right
73,JeanYip3,Right
74,KayabagaArielle,Right
75,HonEdFast,Right
76,JennaSudds,Right
77,SalmaZahid15,Right
78,YaaraSaks,Right
79,AryaCanada,Right
80,jimcarr_wpg,Right
81,Webber4Confed,Right
82,RonLiepert,Right
83,MajidJowhari,Right
84,MPTedFalk,Right
85,MichaelChongMP,Right
86,Laurel_BC,Left
87,Cooper4SAE,Right
88,GaryAVidal,Right
89,beynate,Right
90,JulieDzerowicz,Right
91,gary_srp,Right
92,AliEhsassi,Right
93,MarcMillerVM,Right
94,EmmanuelDubourg,Right
95,BenLobbMP,Right
96,StephanieKusie,Right
97,JenicaAtwin,Right
98,LarryMaguireMP,Right
99,AHousefather,Right
100,cathayw,Right
101,JudySgroMP,Right
102,adamchamb,Right
103,KerryLynneFindl,Right
104,BradleyVis,Right
105,RonMcKinnonLib,Right
106,RichardBragdon,Right
107,VBadawey,Right
108,MelArnoldMP,Right
109,randeepssarai,Right
110,DaveMacKenzieMP,Right
111,CandiceBergenMP,Right
112,CanningsNDP,Left
113,SophieChatel1,Right
114,Francis_Drouin,Right
115,mferreriptbokaw,Right
116,ValBradfordMP,Right
117,pfragiskatos,Right
118,JennyKwanBC,Left
119,LloydLongfield,Right
120,Shafqat_Ali_1,Right
121,MichaelKramSK,Right
122,FraserTolmie,Right
123,viraniarif,Right
124,ChurenceRogers,Right
125,SherryRomanado,Right
126,takovanpopta,Right
127,mflalonde,Right
128,Chris_Bittle,Right
129,VivianeLapointe,Right
130,PierrePaulHus,Right
131,LeslynLewis,Right
132,DarrenFisherNS,Right
133,juliedabrusin,Right
134,lisahepfner,Right
135,Eric_Melillo,Right
136,PeterSchiefke,Right
137,LoriIdlout,Left
138,jwaldag,Right
139,LeahGazan,Right
140,MBDan7,Right
141,JohnWilliamson_,Right
142,marcomendicino,Right
143,MikeBarrettON,Right
144,BonitaZarrillo,Left
145,erinotoole,Right
146,WarrenSteinley,Right
147,RachelBendayan,Right
148,ScottReidCPC,Right
149,SvenTrueNorth,Right
150,robmorrisonmp,Right
151,LMathys,Left
152,markstrahl,Right
153,Irek_K,Right
154,emlambropoulos,Right
155,DavidMcGuinty,Right
156,earl_dreeshen,Right
157,PaulChiangMU,Right
158,fsorbara,Right
159,KirstyDuncanMP,Right
160,JohnBarlowMP,Right
161,karen_vecchio,Right
162,LucBerthold,Right
163,tomkmiec,Right
164,r_garrison,Left
165,SeanCaseyLPC,Right
166,Jamie_Schmale,Right
167,AndrewScheer,Right
168,AMacGregor4CML,Left
169,theJagmeetSingh,Left
170,AlexandraBrStL,Right
171,MarcDalton,Right
172,JohnMcKayLib,Right
173,DeanAllisonMP,Right
174,PierrePoilievre,Right
175,YvonneJJones,Right
176,RobMoore_CPC,Right
177,GarnettGenuis,Right
178,Taleeb,Right
179,CharlieAngusNDP,Left
180,GordJohns,Left
181,JoelLightbound,Right
182,MelissaLantsman,Right
183,Kevin_Lamoureux,Right
184,PamDamoff,Right
185,cafreeland,Right
186,ScarpaleggiaLSL,Right
187,alexboulerice,Left
188,TimUppal,Right
189,karenmccrimmon,Right
190,bobzimmermp,Right
191,taylorbachrach,Left
192,ScottAAitchison,Right
193,TerryDuguid,Right
194,AnthonyRota,Right
195,stevenmackinnon,Right
196,MarcSerreMP,Right
197,AndyFillmoreHFX,Right
198,MarkGerretsen,Right
199,BlaineFCalkins,Right
200,FrankCaputoKTC,Right
201,SorayaMartinezF,Right
202,MikeLakeMP,Right
203,jasrajshallan,Right
204,CornwallHeath,Right
205,RABlaney,Left
206,RickPerkinsMP,Right
207,vankayak,Right
208,IaconoMP,Right
209,HMcPhersonMP,Left
210,Yasir_Naqvi,Right
211,dckurek,Right
212,CdEntremontMP,Right
213,Rob_Oliphant,Right
214,ColinCarrieCPC,Right
215,CarolHughesMP,Left
216,iamIqraKhalid,Right
217,_BryanMay,Right
218,pbainsy,Right
219,rubysahotalib,Right
220,Yvan_Baker,Right
221,DanMuysMP,Right
222,chriswarkentin,Right
223,GregFergus,Right
224,jamesbezan,Right
225,LailaGoodridge,Right
226,anitavandenbeld,Right
227,sukhdhaliwal,Right
228,JohnBrassardCPC,Right
229,gerarddeltell,Right
230,MPRandyHoback,Right
231,JohnNaterMP,Right
232,j_maloney,Right
233,KellyBlockmp,Right
234,ctochor,Right
235,HedyFry,Right
236,DaneLloydMP,Right
237,EricDuncanSDSG,Right
238,BlakeRichardsMP,Right
239,Ryan_r_Williams,Right
240,BrianMasseMP,Left
241,TonyVanBynen,Right
242,MPJulian,Left
243,nikiashton,Left
244,MatthewGreenNDP,Left
245,terrybeech,Left
246,DanAlbas,Right
247,ElizabethMay,Left
248,DonDavies,Left
249,jeneroux,Right
250,morricemike,Left
251,MichelleRempel,Right
252,KenHardie,Right
253,liberal_party,Right
254,CPC_HQ,Right
255,BlocQuebecois,Right
256,NDP,Right
257,CanadianGreens,Right
258,SenRPatterson,Right
259,SenMartyDeacon,Right
260,SenatorRobBlack,Right
261,SenCoyle,Right
262,GeorgeFureyNL,Right
263,TonyDean_TO,Right
264,DonPlett,Left
265,SenTMM,Right
266,colindeacon,Right
267,SenatorBoyer,Right
268,Karen_Banff,Right
